base,id_registro,id_usuario,tipo_inconsistencia,descripcion,nivel,campo,valor_detectado,recomendacion
usuarios_mca,U020,U020,ID duplicado,El identificador del usuario aparece más de una vez en la base principal.,Crítico,id_usuario,U020,Revisar duplicidad del caso y mantener un único registro válido.
usuarios_mca,U020,U020,ID duplicado,El identificador del usuario aparece más de una vez en la base principal.,Crítico,id_usuario,U020,Revisar duplicidad del caso y mantener un único registro válido.
usuarios_mca,U003,U003,Edad fuera de rango,La edad registrada está fuera del rango esperado para el contexto simulado.,Crítico,edad,13,Verificar edad registrada y corregir si corresponde.
usuarios_mca,U008,U008,Edad fuera de rango,La edad registrada está fuera del rango esperado para el contexto simulado.,Crítico,edad,22,Verificar edad registrada y corregir si corresponde.
usuarios_mca,U011,U011,Comuna faltante,El usuario no tiene comuna registrada.,Medio,comuna,Sin información,Completar comuna para mejorar trazabilidad territorial.
usuarios_mca,U016,U016,Caso vigente sin profesional responsable,"El caso se encuentra vigente, pero no tiene profesional responsable asignado.",Crítico,profesional_responsable,Sin información,Asignar profesional responsable para seguimiento del caso.
usuarios_mca,U001,U001,Caso vigente sin contacto reciente,El usuario vigente presenta más de 21 días sin contacto registrado.,Medio,fecha_ultimo_contacto,50 días sin contacto,Revisar estado del seguimiento y actualizar contacto.
usuarios_mca,U007,U007,Caso vigente sin contacto reciente,El usuario vigente presenta más de 21 días sin contacto registrado.,Medio,fecha_ultimo_contacto,42 días sin contacto,Revisar estado del seguimiento y actualizar contacto.
usuarios_mca,U009,U009,Caso vigente sin contacto reciente,El usuario vigente presenta más de 21 días sin contacto registrado.,Medio,fecha_ultimo_contacto,54 días sin contacto,Revisar estado del seguimiento y actualizar contacto.
usuarios_mca,U010,U010,Caso vigente sin contacto reciente,El usuario vigente presenta más de 21 días sin contacto registrado.,Medio,fecha_ultimo_contacto,29 días sin contacto,Revisar estado del seguimiento y actualizar contacto.
usuarios_mca,U013,U013,Caso vigente sin contacto reciente,El usuario vigente presenta más de 21 días sin contacto registrado.,Medio,fecha_ultimo_contacto,44 días sin contacto,Revisar estado del seguimiento y actualizar contacto.
usuarios_mca,U014,U014,Caso vigente sin contacto reciente,El usuario vigente presenta más de 21 días sin contacto registrado.,Medio,fecha_ultimo_contacto,34 días sin contacto,Revisar estado del seguimiento y actualizar contacto.
usuarios_mca,U016,U016,Caso vigente sin contacto reciente,El usuario vigente presenta más de 21 días sin contacto registrado.,Medio,fecha_ultimo_contacto,36 días sin contacto,Revisar estado del seguimiento y actualizar contacto.
usuarios_mca,U018,U018,Caso vigente sin contacto reciente,El usuario vigente presenta más de 21 días sin contacto registrado.,Medio,fecha_ultimo_contacto,31 días sin contacto,Revisar estado del seguimiento y actualizar contacto.
usuarios_mca,U019,U019,Caso vigente sin contacto reciente,El usuario vigente presenta más de 21 días sin contacto registrado.,Medio,fecha_ultimo_contacto,48 días sin contacto,Revisar estado del seguimiento y actualizar contacto.
usuarios_mca,U023,U023,Caso vigente sin contacto reciente,El usuario vigente presenta más de 21 días sin contacto registrado.,Medio,fecha_ultimo_contacto,23 días sin contacto,Revisar estado del seguimiento y actualizar contacto.
usuarios_mca,U025,U025,Caso vigente sin contacto reciente,El usuario vigente presenta más de 21 días sin contacto registrado.,Medio,fecha_ultimo_contacto,40 días sin contacto,Revisar estado del seguimiento y actualizar contacto.
usuarios_mca,U030,U030,Caso vigente sin contacto reciente,El usuario vigente presenta más de 21 días sin contacto registrado.,Medio,fecha_ultimo_contacto,47 días sin contacto,Revisar estado del seguimiento y actualizar contacto.
usuarios_mca,U032,U032,Caso vigente sin contacto reciente,El usuario vigente presenta más de 21 días sin contacto registrado.,Medio,fecha_ultimo_contacto,24 días sin contacto,Revisar estado del seguimiento y actualizar contacto.
usuarios_mca,U033,U033,Caso vigente sin contacto reciente,El usuario vigente presenta más de 21 días sin contacto registrado.,Medio,fecha_ultimo_contacto,26 días sin contacto,Revisar estado del seguimiento y actualizar contacto.
usuarios_mca,U034,U034,Caso vigente sin contacto reciente,El usuario vigente presenta más de 21 días sin contacto registrado.,Medio,fecha_ultimo_contacto,25 días sin contacto,Revisar estado del seguimiento y actualizar contacto.
usuarios_mca,U035,U035,Caso vigente sin contacto reciente,El usuario vigente presenta más de 21 días sin contacto registrado.,Medio,fecha_ultimo_contacto,45 días sin contacto,Revisar estado del seguimiento y actualizar contacto.
usuarios_mca,U036,U036,Caso vigente sin contacto reciente,El usuario vigente presenta más de 21 días sin contacto registrado.,Medio,fecha_ultimo_contacto,41 días sin contacto,Revisar estado del seguimiento y actualizar contacto.
usuarios_mca,U037,U037,Caso vigente sin contacto reciente,El usuario vigente presenta más de 21 días sin contacto registrado.,Medio,fecha_ultimo_contacto,29 días sin contacto,Revisar estado del seguimiento y actualizar contacto.
usuarios_mca,U039,U039,Caso vigente sin contacto reciente,El usuario vigente presenta más de 21 días sin contacto registrado.,Medio,fecha_ultimo_contacto,45 días sin contacto,Revisar estado del seguimiento y actualizar contacto.
usuarios_mca,U041,U041,Caso vigente sin contacto reciente,El usuario vigente presenta más de 21 días sin contacto registrado.,Medio,fecha_ultimo_contacto,25 días sin contacto,Revisar estado del seguimiento y actualizar contacto.
usuarios_mca,U044,U044,Caso vigente sin contacto reciente,El usuario vigente presenta más de 21 días sin contacto registrado.,Medio,fecha_ultimo_contacto,24 días sin contacto,Revisar estado del seguimiento y actualizar contacto.
usuarios_mca,U046,U046,Caso vigente sin contacto reciente,El usuario vigente presenta más de 21 días sin contacto registrado.,Medio,fecha_ultimo_contacto,44 días sin contacto,Revisar estado del seguimiento y actualizar contacto.
usuarios_mca,U050,U050,Caso vigente sin contacto reciente,El usuario vigente presenta más de 21 días sin contacto registrado.,Medio,fecha_ultimo_contacto,51 días sin contacto,Revisar estado del seguimiento y actualizar contacto.
usuarios_mca,U053,U053,Caso vigente sin contacto reciente,El usuario vigente presenta más de 21 días sin contacto registrado.,Medio,fecha_ultimo_contacto,35 días sin contacto,Revisar estado del seguimiento y actualizar contacto.
usuarios_mca,U054,U054,Caso vigente sin contacto reciente,El usuario vigente presenta más de 21 días sin contacto registrado.,Medio,fecha_ultimo_contacto,35 días sin contacto,Revisar estado del seguimiento y actualizar contacto.
usuarios_mca,U055,U055,Caso vigente sin contacto reciente,El usuario vigente presenta más de 21 días sin contacto registrado.,Medio,fecha_ultimo_contacto,33 días sin contacto,Revisar estado del seguimiento y actualizar contacto.
usuarios_mca,U058,U058,Caso vigente sin contacto reciente,El usuario vigente presenta más de 21 días sin contacto registrado.,Medio,fecha_ultimo_contacto,42 días sin contacto,Revisar estado del seguimiento y actualizar contacto.
usuarios_mca,U059,U059,Caso vigente sin contacto reciente,El usuario vigente presenta más de 21 días sin contacto registrado.,Medio,fecha_ultimo_contacto,39 días sin contacto,Revisar estado del seguimiento y actualizar contacto.
usuarios_mca,U061,U061,Caso vigente sin contacto reciente,El usuario vigente presenta más de 21 días sin contacto registrado.,Medio,fecha_ultimo_contacto,41 días sin contacto,Revisar estado del seguimiento y actualizar contacto.
usuarios_mca,U062,U062,Caso vigente sin contacto reciente,El usuario vigente presenta más de 21 días sin contacto registrado.,Medio,fecha_ultimo_contacto,28 días sin contacto,Revisar estado del seguimiento y actualizar contacto.
usuarios_mca,U067,U067,Caso vigente sin contacto reciente,El usuario vigente presenta más de 21 días sin contacto registrado.,Medio,fecha_ultimo_contacto,34 días sin contacto,Revisar estado del seguimiento y actualizar contacto.
usuarios_mca,U068,U068,Caso vigente sin contacto reciente,El usuario vigente presenta más de 21 días sin contacto registrado.,Medio,fecha_ultimo_contacto,33 días sin contacto,Revisar estado del seguimiento y actualizar contacto.
usuarios_mca,U069,U069,Caso vigente sin contacto reciente,El usuario vigente presenta más de 21 días sin contacto registrado.,Medio,fecha_ultimo_contacto,48 días sin contacto,Revisar estado del seguimiento y actualizar contacto.
usuarios_mca,U070,U070,Caso vigente sin contacto reciente,El usuario vigente presenta más de 21 días sin contacto registrado.,Medio,fecha_ultimo_contacto,55 días sin contacto,Revisar estado del seguimiento y actualizar contacto.
usuarios_mca,U071,U071,Caso vigente sin contacto reciente,El usuario vigente presenta más de 21 días sin contacto registrado.,Medio,fecha_ultimo_contacto,23 días sin contacto,Revisar estado del seguimiento y actualizar contacto.
usuarios_mca,U072,U072,Caso vigente sin contacto reciente,El usuario vigente presenta más de 21 días sin contacto registrado.,Medio,fecha_ultimo_contacto,24 días sin contacto,Revisar estado del seguimiento y actualizar contacto.
usuarios_mca,U075,U075,Caso vigente sin contacto reciente,El usuario vigente presenta más de 21 días sin contacto registrado.,Medio,fecha_ultimo_contacto,44 días sin contacto,Revisar estado del seguimiento y actualizar contacto.
usuarios_mca,U077,U077,Caso vigente sin contacto reciente,El usuario vigente presenta más de 21 días sin contacto registrado.,Medio,fecha_ultimo_contacto,22 días sin contacto,Revisar estado del seguimiento y actualizar contacto.
usuarios_mca,U078,U078,Caso vigente sin contacto reciente,El usuario vigente presenta más de 21 días sin contacto registrado.,Medio,fecha_ultimo_contacto,27 días sin contacto,Revisar estado del seguimiento y actualizar contacto.
usuarios_mca,U079,U079,Caso vigente sin contacto reciente,El usuario vigente presenta más de 21 días sin contacto registrado.,Medio,fecha_ultimo_contacto,35 días sin contacto,Revisar estado del seguimiento y actualizar contacto.
intervenciones,I0006,U002,Intervención sin responsable,La intervención no tiene profesional responsable registrado.,Medio,responsable,Sin información,Completar responsable de la intervención.
intervenciones,I0029,U011,Intervención anterior al ingreso,La intervención fue registrada antes de la fecha de ingreso del usuario.,Crítico,fecha_intervencion,2026-04-05,Revisar fecha de intervención o fecha de ingreso.
intervenciones,I0102,U032,Intervención anterior al ingreso,La intervención fue registrada antes de la fecha de ingreso del usuario.,Crítico,fecha_intervencion,2026-04-04,Revisar fecha de intervención o fecha de ingreso.
intervenciones,I0136,U042,Intervención anterior al ingreso,La intervención fue registrada antes de la fecha de ingreso del usuario.,Crítico,fecha_intervencion,2026-04-03,Revisar fecha de intervención o fecha de ingreso.
intervenciones,I0137,U042,Intervención anterior al ingreso,La intervención fue registrada antes de la fecha de ingreso del usuario.,Crítico,fecha_intervencion,2026-04-07,Revisar fecha de intervención o fecha de ingreso.
planes_intervencion,P009,U009,PII no registrado,El usuario presenta estado de plan no registrado.,Crítico,estado_pii,No registrado,Revisar registro del Plan de Intervención Individual.
planes_intervencion,P041,U041,PII no registrado,El usuario presenta estado de plan no registrado.,Crítico,estado_pii,No registrado,Revisar registro del Plan de Intervención Individual.
planes_intervencion,P051,U051,PII no registrado,El usuario presenta estado de plan no registrado.,Crítico,estado_pii,No registrado,Revisar registro del Plan de Intervención Individual.
planes_intervencion,P064,U064,PII no registrado,El usuario presenta estado de plan no registrado.,Crítico,estado_pii,No registrado,Revisar registro del Plan de Intervención Individual.
planes_intervencion,P005,U005,PII vencido,El Plan de Intervención Individual se encuentra vencido.,Medio,estado_pii,Vencido,Actualizar o revisar estado del plan.
planes_intervencion,P013,U013,PII vencido,El Plan de Intervención Individual se encuentra vencido.,Medio,estado_pii,Vencido,Actualizar o revisar estado del plan.
planes_intervencion,P019,U019,PII vencido,El Plan de Intervención Individual se encuentra vencido.,Medio,estado_pii,Vencido,Actualizar o revisar estado del plan.
planes_intervencion,P021,U020,PII vencido,El Plan de Intervención Individual se encuentra vencido.,Medio,estado_pii,Vencido,Actualizar o revisar estado del plan.
planes_intervencion,P022,U022,PII vencido,El Plan de Intervención Individual se encuentra vencido.,Medio,estado_pii,Vencido,Actualizar o revisar estado del plan.
planes_intervencion,P028,U028,PII vencido,El Plan de Intervención Individual se encuentra vencido.,Medio,estado_pii,Vencido,Actualizar o revisar estado del plan.
planes_intervencion,P034,U034,PII vencido,El Plan de Intervención Individual se encuentra vencido.,Medio,estado_pii,Vencido,Actualizar o revisar estado del plan.
planes_intervencion,P044,U044,PII vencido,El Plan de Intervención Individual se encuentra vencido.,Medio,estado_pii,Vencido,Actualizar o revisar estado del plan.
planes_intervencion,P052,U052,PII vencido,El Plan de Intervención Individual se encuentra vencido.,Medio,estado_pii,Vencido,Actualizar o revisar estado del plan.
planes_intervencion,P054,U054,PII vencido,El Plan de Intervención Individual se encuentra vencido.,Medio,estado_pii,Vencido,Actualizar o revisar estado del plan.
planes_intervencion,P078,U078,PII vencido,El Plan de Intervención Individual se encuentra vencido.,Medio,estado_pii,Vencido,Actualizar o revisar estado del plan.
planes_intervencion,P080,U080,PII vencido,El Plan de Intervención Individual se encuentra vencido.,Medio,estado_pii,Vencido,Actualizar o revisar estado del plan.
planes_intervencion,P001,U001,PII sin actualización reciente,El plan presenta más de 90 días desde su última actualización.,Medio,fecha_ultima_actualizacion,195 días,Revisar necesidad de actualización del plan.
planes_intervencion,P005,U005,PII sin actualización reciente,El plan presenta más de 90 días desde su última actualización.,Medio,fecha_ultima_actualizacion,332 días,Revisar necesidad de actualización del plan.
planes_intervencion,P006,U006,PII sin actualización reciente,El plan presenta más de 90 días desde su última actualización.,Medio,fecha_ultima_actualizacion,272 días,Revisar necesidad de actualización del plan.
planes_intervencion,P007,U007,PII sin actualización reciente,El plan presenta más de 90 días desde su última actualización.,Medio,fecha_ultima_actualizacion,187 días,Revisar necesidad de actualización del plan.
planes_intervencion,P008,U008,PII sin actualización reciente,El plan presenta más de 90 días desde su última actualización.,Medio,fecha_ultima_actualizacion,323 días,Revisar necesidad de actualización del plan.
planes_intervencion,P009,U009,PII sin actualización reciente,El plan presenta más de 90 días desde su última actualización.,Medio,fecha_ultima_actualizacion,244 días,Revisar necesidad de actualización del plan.
planes_intervencion,P010,U010,PII sin actualización reciente,El plan presenta más de 90 días desde su última actualización.,Medio,fecha_ultima_actualizacion,184 días,Revisar necesidad de actualización del plan.
planes_intervencion,P012,U012,PII sin actualización reciente,El plan presenta más de 90 días desde su última actualización.,Medio,fecha_ultima_actualizacion,106 días,Revisar necesidad de actualización del plan.
planes_intervencion,P015,U015,PII sin actualización reciente,El plan presenta más de 90 días desde su última actualización.,Medio,fecha_ultima_actualizacion,244 días,Revisar necesidad de actualización del plan.
planes_intervencion,P017,U017,PII sin actualización reciente,El plan presenta más de 90 días desde su última actualización.,Medio,fecha_ultima_actualizacion,205 días,Revisar necesidad de actualización del plan.
planes_intervencion,P019,U019,PII sin actualización reciente,El plan presenta más de 90 días desde su última actualización.,Medio,fecha_ultima_actualizacion,202 días,Revisar necesidad de actualización del plan.
planes_intervencion,P020,U020,PII sin actualización reciente,El plan presenta más de 90 días desde su última actualización.,Medio,fecha_ultima_actualizacion,162 días,Revisar necesidad de actualización del plan.
planes_intervencion,P021,U020,PII sin actualización reciente,El plan presenta más de 90 días desde su última actualización.,Medio,fecha_ultima_actualizacion,314 días,Revisar necesidad de actualización del plan.
planes_intervencion,P023,U023,PII sin actualización reciente,El plan presenta más de 90 días desde su última actualización.,Medio,fecha_ultima_actualizacion,94 días,Revisar necesidad de actualización del plan.
planes_intervencion,P028,U028,PII sin actualización reciente,El plan presenta más de 90 días desde su última actualización.,Medio,fecha_ultima_actualizacion,221 días,Revisar necesidad de actualización del plan.
planes_intervencion,P030,U030,PII sin actualización reciente,El plan presenta más de 90 días desde su última actualización.,Medio,fecha_ultima_actualizacion,124 días,Revisar necesidad de actualización del plan.
planes_intervencion,P031,U031,PII sin actualización reciente,El plan presenta más de 90 días desde su última actualización.,Medio,fecha_ultima_actualizacion,147 días,Revisar necesidad de actualización del plan.
planes_intervencion,P034,U034,PII sin actualización reciente,El plan presenta más de 90 días desde su última actualización.,Medio,fecha_ultima_actualizacion,365 días,Revisar necesidad de actualización del plan.
planes_intervencion,P035,U035,PII sin actualización reciente,El plan presenta más de 90 días desde su última actualización.,Medio,fecha_ultima_actualizacion,192 días,Revisar necesidad de actualización del plan.
planes_intervencion,P036,U036,PII sin actualización reciente,El plan presenta más de 90 días desde su última actualización.,Medio,fecha_ultima_actualizacion,187 días,Revisar necesidad de actualización del plan.
planes_intervencion,P038,U038,PII sin actualización reciente,El plan presenta más de 90 días desde su última actualización.,Medio,fecha_ultima_actualizacion,264 días,Revisar necesidad de actualización del plan.
planes_intervencion,P039,U039,PII sin actualización reciente,El plan presenta más de 90 días desde su última actualización.,Medio,fecha_ultima_actualizacion,389 días,Revisar necesidad de actualización del plan.
planes_intervencion,P040,U040,PII sin actualización reciente,El plan presenta más de 90 días desde su última actualización.,Medio,fecha_ultima_actualizacion,241 días,Revisar necesidad de actualización del plan.
planes_intervencion,P041,U041,PII sin actualización reciente,El plan presenta más de 90 días desde su última actualización.,Medio,fecha_ultima_actualizacion,253 días,Revisar necesidad de actualización del plan.
planes_intervencion,P044,U044,PII sin actualización reciente,El plan presenta más de 90 días desde su última actualización.,Medio,fecha_ultima_actualizacion,218 días,Revisar necesidad de actualización del plan.
planes_intervencion,P046,U046,PII sin actualización reciente,El plan presenta más de 90 días desde su última actualización.,Medio,fecha_ultima_actualizacion,242 días,Revisar necesidad de actualización del plan.
planes_intervencion,P048,U048,PII sin actualización reciente,El plan presenta más de 90 días desde su última actualización.,Medio,fecha_ultima_actualizacion,301 días,Revisar necesidad de actualización del plan.
planes_intervencion,P050,U050,PII sin actualización reciente,El plan presenta más de 90 días desde su última actualización.,Medio,fecha_ultima_actualizacion,351 días,Revisar necesidad de actualización del plan.
planes_intervencion,P051,U051,PII sin actualización reciente,El plan presenta más de 90 días desde su última actualización.,Medio,fecha_ultima_actualizacion,164 días,Revisar necesidad de actualización del plan.
planes_intervencion,P052,U052,PII sin actualización reciente,El plan presenta más de 90 días desde su última actualización.,Medio,fecha_ultima_actualizacion,124 días,Revisar necesidad de actualización del plan.
planes_intervencion,P053,U053,PII sin actualización reciente,El plan presenta más de 90 días desde su última actualización.,Medio,fecha_ultima_actualizacion,265 días,Revisar necesidad de actualización del plan.
planes_intervencion,P055,U055,PII sin actualización reciente,El plan presenta más de 90 días desde su última actualización.,Medio,fecha_ultima_actualizacion,250 días,Revisar necesidad de actualización del plan.
planes_intervencion,P056,U056,PII sin actualización reciente,El plan presenta más de 90 días desde su última actualización.,Medio,fecha_ultima_actualizacion,284 días,Revisar necesidad de actualización del plan.
planes_intervencion,P058,U058,PII sin actualización reciente,El plan presenta más de 90 días desde su última actualización.,Medio,fecha_ultima_actualizacion,254 días,Revisar necesidad de actualización del plan.
planes_intervencion,P061,U061,PII sin actualización reciente,El plan presenta más de 90 días desde su última actualización.,Medio,fecha_ultima_actualizacion,226 días,Revisar necesidad de actualización del plan.
planes_intervencion,P063,U063,PII sin actualización reciente,El plan presenta más de 90 días desde su última actualización.,Medio,fecha_ultima_actualizacion,432 días,Revisar necesidad de actualización del plan.
planes_intervencion,P064,U064,PII sin actualización reciente,El plan presenta más de 90 días desde su última actualización.,Medio,fecha_ultima_actualizacion,109 días,Revisar necesidad de actualización del plan.
planes_intervencion,P065,U065,PII sin actualización reciente,El plan presenta más de 90 días desde su última actualización.,Medio,fecha_ultima_actualizacion,117 días,Revisar necesidad de actualización del plan.
planes_intervencion,P067,U067,PII sin actualización reciente,El plan presenta más de 90 días desde su última actualización.,Medio,fecha_ultima_actualizacion,379 días,Revisar necesidad de actualización del plan.
planes_intervencion,P070,U070,PII sin actualización reciente,El plan presenta más de 90 días desde su última actualización.,Medio,fecha_ultima_actualizacion,302 días,Revisar necesidad de actualización del plan.
planes_intervencion,P077,U077,PII sin actualización reciente,El plan presenta más de 90 días desde su última actualización.,Medio,fecha_ultima_actualizacion,365 días,Revisar necesidad de actualización del plan.
planes_intervencion,P078,U078,PII sin actualización reciente,El plan presenta más de 90 días desde su última actualización.,Medio,fecha_ultima_actualizacion,97 días,Revisar necesidad de actualización del plan.
planes_intervencion,P079,U079,PII sin actualización reciente,El plan presenta más de 90 días desde su última actualización.,Medio,fecha_ultima_actualizacion,293 días,Revisar necesidad de actualización del plan.
controles_audiencias,C0001,U001,Inasistencia registrada,"El usuario presenta una inasistencia a control, citación o audiencia.",Medio,asistencia,No asiste,Revisar seguimiento y justificar o reagendar si corresponde.
controles_audiencias,C0002,U002,Inasistencia registrada,"El usuario presenta una inasistencia a control, citación o audiencia.",Medio,asistencia,No asiste,Revisar seguimiento y justificar o reagendar si corresponde.
controles_audiencias,C0008,U004,Inasistencia registrada,"El usuario presenta una inasistencia a control, citación o audiencia.",Medio,asistencia,No asiste,Revisar seguimiento y justificar o reagendar si corresponde.
controles_audiencias,C0018,U009,Inasistencia registrada,"El usuario presenta una inasistencia a control, citación o audiencia.",Medio,asistencia,No asiste,Revisar seguimiento y justificar o reagendar si corresponde.
controles_audiencias,C0022,U011,Inasistencia registrada,"El usuario presenta una inasistencia a control, citación o audiencia.",Medio,asistencia,No asiste,Revisar seguimiento y justificar o reagendar si corresponde.
controles_audiencias,C0026,U012,Inasistencia registrada,"El usuario presenta una inasistencia a control, citación o audiencia.",Medio,asistencia,No asiste,Revisar seguimiento y justificar o reagendar si corresponde.
controles_audiencias,C0035,U016,Inasistencia registrada,"El usuario presenta una inasistencia a control, citación o audiencia.",Medio,asistencia,No asiste,Revisar seguimiento y justificar o reagendar si corresponde.
controles_audiencias,C0040,U018,Inasistencia registrada,"El usuario presenta una inasistencia a control, citación o audiencia.",Medio,asistencia,No asiste,Revisar seguimiento y justificar o reagendar si corresponde.
controles_audiencias,C0066,U028,Inasistencia registrada,"El usuario presenta una inasistencia a control, citación o audiencia.",Medio,asistencia,No asiste,Revisar seguimiento y justificar o reagendar si corresponde.
controles_audiencias,C0076,U032,Inasistencia registrada,"El usuario presenta una inasistencia a control, citación o audiencia.",Medio,asistencia,No asiste,Revisar seguimiento y justificar o reagendar si corresponde.
controles_audiencias,C0077,U032,Inasistencia registrada,"El usuario presenta una inasistencia a control, citación o audiencia.",Medio,asistencia,No asiste,Revisar seguimiento y justificar o reagendar si corresponde.
controles_audiencias,C0081,U033,Inasistencia registrada,"El usuario presenta una inasistencia a control, citación o audiencia.",Medio,asistencia,No asiste,Revisar seguimiento y justificar o reagendar si corresponde.
controles_audiencias,C0082,U033,Inasistencia registrada,"El usuario presenta una inasistencia a control, citación o audiencia.",Medio,asistencia,No asiste,Revisar seguimiento y justificar o reagendar si corresponde.
controles_audiencias,C0087,U035,Inasistencia registrada,"El usuario presenta una inasistencia a control, citación o audiencia.",Medio,asistencia,No asiste,Revisar seguimiento y justificar o reagendar si corresponde.
controles_audiencias,C0091,U037,Inasistencia registrada,"El usuario presenta una inasistencia a control, citación o audiencia.",Medio,asistencia,No asiste,Revisar seguimiento y justificar o reagendar si corresponde.
controles_audiencias,C0099,U039,Inasistencia registrada,"El usuario presenta una inasistencia a control, citación o audiencia.",Medio,asistencia,No asiste,Revisar seguimiento y justificar o reagendar si corresponde.
controles_audiencias,C0110,U043,Inasistencia registrada,"El usuario presenta una inasistencia a control, citación o audiencia.",Medio,asistencia,No asiste,Revisar seguimiento y justificar o reagendar si corresponde.
controles_audiencias,C0111,U044,Inasistencia registrada,"El usuario presenta una inasistencia a control, citación o audiencia.",Medio,asistencia,No asiste,Revisar seguimiento y justificar o reagendar si corresponde.
controles_audiencias,C0117,U047,Inasistencia registrada,"El usuario presenta una inasistencia a control, citación o audiencia.",Medio,asistencia,No asiste,Revisar seguimiento y justificar o reagendar si corresponde.
controles_audiencias,C0121,U048,Inasistencia registrada,"El usuario presenta una inasistencia a control, citación o audiencia.",Medio,asistencia,No asiste,Revisar seguimiento y justificar o reagendar si corresponde.
controles_audiencias,C0125,U050,Inasistencia registrada,"El usuario presenta una inasistencia a control, citación o audiencia.",Medio,asistencia,No asiste,Revisar seguimiento y justificar o reagendar si corresponde.
controles_audiencias,C0126,U050,Inasistencia registrada,"El usuario presenta una inasistencia a control, citación o audiencia.",Medio,asistencia,No asiste,Revisar seguimiento y justificar o reagendar si corresponde.
controles_audiencias,C0129,U051,Inasistencia registrada,"El usuario presenta una inasistencia a control, citación o audiencia.",Medio,asistencia,No asiste,Revisar seguimiento y justificar o reagendar si corresponde.
controles_audiencias,C0130,U051,Inasistencia registrada,"El usuario presenta una inasistencia a control, citación o audiencia.",Medio,asistencia,No asiste,Revisar seguimiento y justificar o reagendar si corresponde.
controles_audiencias,C0132,U051,Inasistencia registrada,"El usuario presenta una inasistencia a control, citación o audiencia.",Medio,asistencia,No asiste,Revisar seguimiento y justificar o reagendar si corresponde.
controles_audiencias,C0135,U052,Inasistencia registrada,"El usuario presenta una inasistencia a control, citación o audiencia.",Medio,asistencia,No asiste,Revisar seguimiento y justificar o reagendar si corresponde.
controles_audiencias,C0150,U057,Inasistencia registrada,"El usuario presenta una inasistencia a control, citación o audiencia.",Medio,asistencia,No asiste,Revisar seguimiento y justificar o reagendar si corresponde.
controles_audiencias,C0164,U062,Inasistencia registrada,"El usuario presenta una inasistencia a control, citación o audiencia.",Medio,asistencia,No asiste,Revisar seguimiento y justificar o reagendar si corresponde.
controles_audiencias,C0166,U062,Inasistencia registrada,"El usuario presenta una inasistencia a control, citación o audiencia.",Medio,asistencia,No asiste,Revisar seguimiento y justificar o reagendar si corresponde.
controles_audiencias,C0171,U064,Inasistencia registrada,"El usuario presenta una inasistencia a control, citación o audiencia.",Medio,asistencia,No asiste,Revisar seguimiento y justificar o reagendar si corresponde.
controles_audiencias,C0175,U065,Inasistencia registrada,"El usuario presenta una inasistencia a control, citación o audiencia.",Medio,asistencia,No asiste,Revisar seguimiento y justificar o reagendar si corresponde.
controles_audiencias,C0178,U066,Inasistencia registrada,"El usuario presenta una inasistencia a control, citación o audiencia.",Medio,asistencia,No asiste,Revisar seguimiento y justificar o reagendar si corresponde.
controles_audiencias,C0182,U067,Inasistencia registrada,"El usuario presenta una inasistencia a control, citación o audiencia.",Medio,asistencia,No asiste,Revisar seguimiento y justificar o reagendar si corresponde.
controles_audiencias,C0184,U068,Inasistencia registrada,"El usuario presenta una inasistencia a control, citación o audiencia.",Medio,asistencia,No asiste,Revisar seguimiento y justificar o reagendar si corresponde.
controles_audiencias,C0185,U068,Inasistencia registrada,"El usuario presenta una inasistencia a control, citación o audiencia.",Medio,asistencia,No asiste,Revisar seguimiento y justificar o reagendar si corresponde.
controles_audiencias,C0193,U071,Inasistencia registrada,"El usuario presenta una inasistencia a control, citación o audiencia.",Medio,asistencia,No asiste,Revisar seguimiento y justificar o reagendar si corresponde.
controles_audiencias,C0194,U072,Inasistencia registrada,"El usuario presenta una inasistencia a control, citación o audiencia.",Medio,asistencia,No asiste,Revisar seguimiento y justificar o reagendar si corresponde.
controles_audiencias,C0196,U073,Inasistencia registrada,"El usuario presenta una inasistencia a control, citación o audiencia.",Medio,asistencia,No asiste,Revisar seguimiento y justificar o reagendar si corresponde.
controles_audiencias,C0197,U073,Inasistencia registrada,"El usuario presenta una inasistencia a control, citación o audiencia.",Medio,asistencia,No asiste,Revisar seguimiento y justificar o reagendar si corresponde.
controles_audiencias,C0212,U079,Inasistencia registrada,"El usuario presenta una inasistencia a control, citación o audiencia.",Medio,asistencia,No asiste,Revisar seguimiento y justificar o reagendar si corresponde.
controles_audiencias,C0216,U080,Inasistencia registrada,"El usuario presenta una inasistencia a control, citación o audiencia.",Medio,asistencia,No asiste,Revisar seguimiento y justificar o reagendar si corresponde.
controles_audiencias,C0199,U074,Audiencia próxima,El usuario presenta audiencia próxima dentro de los próximos 7 días.,Informativo,dias_para_control,0 días,Verificar preparación y contacto previo.
egresos,E005,U005,Egreso anterior al ingreso,La fecha de egreso es anterior a la fecha de ingreso.,Crítico,fecha_egreso,2025-04-07,Revisar fecha de ingreso y egreso del caso.
egresos,E005,U005,Días de permanencia negativos,El registro presenta días de permanencia negativos.,Crítico,dias_permanencia,-10,Revisar fechas utilizadas para calcular permanencia.
